"SEVEN BRIDES FOR SEVEN BROTHERS",2020-08-02,"MUSICAL"
"SINATRA AT THE LONDON PALLADIUM",2019-09-09,"MUSICAL"
"SONG FROM FAR AWAY",2020-06-03,"DRAMA"
"SPLENDOUR",2020-05-01,"DRAMA"
"STOMP",2019-12-11,"MUSICAL"
"SUNNY AFTERNOON",2020-06-24,"MUSICAL"
"TEDDY FERRARA",2019-09-20,"DRAMA"
"TEMPEST, THE",2020-01-28,"DRAMA"
"TEMPLE ",2020-05-07,"DRAMA"
"THE ODYSSEY: MISSING PRESUMED DEAD",2019-11-04,"DRAMA"
"THOMAS TALLIS",2019-11-07,"DRAMA"
"THREE DAYS IN THE COUNTRY",2019-09-02,"DRAMA"
"THREE LITTLE PIGS, THE ",2019-11-08,"MUSICAL"
"THRILLER  LIVE",2020-01-10,"MUSICAL"
"TO KILL A MOCKINGBIRD",2019-10-17,"DRAMA"
"TRIAL, THE",2020-02-23,"DRAMA"
"WAR HORSE",2020-03-03,"DRAMA"
"WASTE",2020-05-17,"DRAMA"
"WICKED ",2020-06-05,"MUSICAL"
"WINTER'S TALE, THE",2020-06-23,"DRAMA"
"WOMAN IN BLACK, THE",2020-02-10,"DRAMA"
"WONDER.LAND",2020-01-21,"MUSICAL"
"WUTHERING HEIGHTS",2019-10-25,"DRAMA"
